UF,Sigla,Lab,Universidade,Coordenador,lat,lng
MG,,Laboratório de Psicolinguística,UFMG,Coord. Mara Passos Guimarães,-19.87046000499432,-43.96756424190036
SC,LabLing,Laboratório de Linguagem e Processos Cognitivos,UFSC- Coord. Mailce Borges Mota,-26.876594953143957,-48.97630142917984
GO,LaBiCp,Laboratório de Bilinguismo e Cognição,UFRGS,Coord. Ingrid Finger,-30.033277935106938,-51.22083459132918
MG,LaProLin,Laboratório de Processamento da Linguagem,UFG,Coord. Elena Ortiz Preuss,-16.606196607133736,-49.26156969167836
MG,NEALP,Núcleo de Estudos em Aquisição da Linguagem e Psicolinguística,UFJF,Coord. Cristina Name,-21.776849853744107,-43.36901558971869
RJ,LaPEx,Laboratório de Psicolinguística Experimental,UFRJ,Coord. Marcus Maia,-22.862465283112716,-43.22347370318646
RJ,AceSin,Laboratório de Acesso Sintático,UFRJ,Coord. Aniela Improta França,-22.862465283112716,-43.22347370318646
PB,LaProL,Laboratório de Processamento Linguístico,UFPB,Coord. Márcio Leitão e José Ferrari-Neto,-7.137657866868103,-34.84580700104601
RJ,LaPAL,Laboratório de Psicolinguística e Aquisição da Linguagem,PUC-Rio,Coord. Letícia Maria Sicuro-Corrêa,-22.97958824597399,-43.233455647358134
SP,"LAProS,Laboratório de Aquisição da Linguagem, Processamento e Sintaxe,UNICAMP,Coord. Thiago Motta",-22.8127089412982,-47.06632464346301
RN,LEELin,Laboratório de Estudos Experimentais em Linguagem,UFRN,Coord. Mahayana Godoy,-5.838289022944962,-35.20013525311074
CE,LCCP,Laboratório de Ciências Cognitivas e Psicolinguística,UFC,Coord. Elisângela Teixeira,-3.7464825511516455,-38.57368429981584
